chem_id,compound_class
100002917,10
100002921,21
100002923,21
100002927,11
100002928,8
100002929,31
100002930,19
100002931,19
100002933,19
100002934,19
100002935,19
100002936,19
100002938,19
100002939,19
100002943,7
100002944,7
100002945,29
100002946,19
100002948,28
100002951,15
100002952,4
100002953,4
100002957,7
100002958,1
100002959,1
100002960,1
100002961,1
100002962,27
100002963,27
100002966,27
100002967,27
100002968,27
100002978,24
100002979,7
100002980,28
100002981,23
100002983,13
100002984,13
100002986,28
100002987,13
100002988,13
100002989,13
100002990,13
100002991,30
100002992,21
100002993,7
100002994,19
100002995,21
100002999,24
100003000,3
100003001,3
100003002,22
100003003,23
100003004,22
100003005,6
100003008,3
100003009,1
100003014,10
100003015,10
100003016,10
100003017,10
100003018,10
100003023,10
100003024,7
100003034,7
100003047,7
100003055,21
100003061,19
100003063,5
100003064,6
100003066,8
100003070,27
100003071,9
100003072,23
100003073,7
100003075,13
100003076,7
100003077,8
100003098,27
100003101,19
100003106,23
100003107,23
100003109,23
100003110,23
100003112,27
100003113,23
100003114,1
100003115,1
100003119,5
100003120,1
100003122,1
100003124,6
100003127,6
100003128,27
100003129,7
100003131,6
100003132,6
100003136,27
100003139,1
100003145,1
100003150,28
100003151,30
100003152,15
100003153,24
100003154,24
100003155,11
100003158,24
100003159,24
100003160,24
100003161,14
100003162,23
100003163,3
100003164,24
100003165,11
100003166,11
100003167,11
100003168,11
100003169,29
100003170,14
100003172,29
100003173,23
100003174,24
100003176,23
100003177,23
100003178,29
100003179,29
100003180,24
100003181,11
100003182,11
100003184,11
100003185,29
100003186,23
100003188,29
100003189,23
100003190,24
100003192,23
100003193,23
100003194,29
100003195,24
100003196,24
100003197,24
100003198,24
100003199,23
100003200,23
100003201,24
100003202,11
100003203,29
100003204,29
100003205,23
100003206,23
100003207,24
100003208,23
100003209,29
100003210,29
100003226,10
100003231,27
100003235,20
100003236,20
100003239,25
100003240,25
100003241,26
100003242,29
100003250,14
100003252,14
100003253,23
100003254,28
100003255,28
100003256,6
100003257,19
100003258,19
100003259,7
100003260,24
100003262,26
100003263,0
100003264,0
100003265,23
100003268,30
100003269,9
100003270,9
100003271,11
100003272,21
100003273,0
100003274,14
100003275,0
100003276,0
100003277,14
100003281,1
100003283,1
100003285,1
100003286,1
100003292,20
100003293,9
100003298,21
100003312,8
100003314,1
100003320,27
100003321,27
100003324,27
100003332,7
100003333,6
100003334,28
100003335,7
100003344,1
100003347,1
100003352,1
100003354,7
100003365,10
100003366,28
100003368,27
100003374,1
100003380,20
100003381,1
100003385,14
100003393,20
100003394,31
100003397,3
100003398,6
100003401,6
100003402,6
100003403,6
100003406,6
100003407,8
100003408,7
100003412,7
100003415,26
100003417,9
100003419,0
100003420,27
100003421,14
100003422,28
100003423,27
100003424,28
